339	mkfifo	mkfifo, mkfifoat — make a FIFO special file
340	mknod	mknod, mknodat — make directory, special file, or regular file
341	mktime	mktime — convert broken-down time into time since the Epoch
342	mlock	mlock, munlock — lock or unlock a range of process address space (REALTIME)
343	mlockall	mlockall, munlockall — lock/unlock the address space of a process (REALTIME)
344	mmap	mmap — map pages of memory
345	modf	modf, modff, modfl — decompose a floating-point number
346	mprotect	mprotect — set protection of memory mapping
347	mq_close	mq_close — close a message queue (REALTIME)
348	mq_getattr	mq_getattr — get message queue attributes (REALTIME)
349	mq_notify	mq_notify — notify process that a message is available (REALTIME)
350	mq_open	mq_open — open a message queue (REALTIME)
351	mq_receive	mq_receive, mq_timedreceive — receive a message from a message queue (REALTIME)
352	mq_send	mq_send, mq_timedsend — send a message to a message queue (REALTIME)
353	mq_setattr	mq_setattr — set message queue attributes (REALTIME)
354	mq_unlink	mq_unlink — remove a message queue (REALTIME)
355	msgctl	msgctl — XSI message control operations
356	msgget	msgget — get the XSI message queue identifier
357	msgrcv	msgrcv — XSI message receive operation
358	msgsnd	msgsnd — XSI message send operation
359	msync	msync — synchronize memory with physical storage
360	mtx_destroy	mtx_destroy, mtx_init — destroy and initialize a mutex
361	mtx_lock	mtx_lock, mtx_timedlock, mtx_trylock, mtx_unlock — lock and unlock a mutex
362	munmap	munmap — unmap pages of memory
363	nan	nan, nanf, nanl — return quiet NaN
364	nanosleep	nanosleep — high resolution sleep
365	nearbyint	nearbyint, nearbyintf, nearbyintl — floating-point rounding functions
366	newlocale	newlocale — create or modify a locale object
367	nextafter	nextafter, nextafterf, nextafterl, nexttoward, nexttowardf, nexttowardl — next representable floating-point number
368	nftw	nftw — walk a file tree
369	nice	nice — change the nice value of a process
370	nl_langinfo	nl_langinfo, nl_langinfo_l — language information
371	open	open, openat — open file
372	open_memstream	open_memstream, open_wmemstream — open a dynamic memory buffer stream
373	pause	pause — suspend the thread until a signal is received
374	pclose	pclose — close a pipe stream to or from a process
375	perror	perror — write error messages to standard error
376	pipe	pipe, pipe2 — create an interprocess channel
377	poll	poll, ppoll — input/output multiplexing
378	popen	popen — initiate pipe streams to or from a process
379	posix_devctl	posix_devctl — device control
380	posix_fadvise	posix_fadvise — file advisory information (ADVANCED REALTIME)
381	posix_fallocate	posix_fallocate — file space control (ADVANCED REALTIME)
382	posix_getdents	posix_getdents — read directory entries
383	posix_madvise	posix_madvise — memory advisory information and alignment control (ADVANCED REALTIME)
384	posix_mem_offset	posix_mem_offset — find offset and length of a mapped typed memory block (ADVANCED REALTIME)
385	posix_memalign	posix_memalign — aligned memory allocation (ADVANCED REALTIME)
386	posix_openpt	posix_openpt — open a pseudo-terminal device
387	posix_spawn	posix_spawn, posix_spawnp — spawn a process (ADVANCED REALTIME)
388	posix_spawn_file_actions_addchdir	posix_spawn_file_actions_addchdir, posix_spawn_file_actions_addfchdir — add chdir or fchdir action to spawn file actions object (ADVANCED REALTIME)
389	posix_spawn_file_actions_addclose	posix_spawn_file_actions_addclose, posix_spawn_file_actions_addopen — add close or open action to spawn file actions object (ADVANCED REALTIME)
390	posix_spawn_file_actions_adddup2	posix_spawn_file_actions_adddup2 — add dup2 action to spawn file actions object (ADVANCED REALTIME)
391	posix_spawn_file_actions_destroy	posix_spawn_file_actions_destroy, posix_spawn_file_actions_init — destroy and initialize spawn file actions object (ADVANCED REALTIME)
392	posix_spawnattr_destroy	posix_spawnattr_destroy, posix_spawnattr_init — destroy and initialize spawn attributes object (ADVANCED REALTIME)
393	posix_spawnattr_getflags	posix_spawnattr_getflags, posix_spawnattr_setflags — get and set the spawn-flags attribute of a spawn attributes object (ADVANCED REALTIME)
394	posix_spawnattr_getpgroup	posix_spawnattr_getpgroup, posix_spawnattr_setpgroup — get and set the spawn-pgroup attribute of a spawn attributes object (ADVANCED REALTIME)
395	posix_spawnattr_getschedparam	posix_spawnattr_getschedparam, posix_spawnattr_setschedparam — get and set the spawn-schedparam attribute of a spawn attributes object (ADVANCED REALTIME)
396	posix_spawnattr_getschedpolicy	posix_spawnattr_getschedpolicy, posix_spawnattr_setschedpolicy — get and set the spawn-schedpolicy attribute of a spawn attributes object (ADVANCED REALTIME)
397	posix_spawnattr_getsigdefault	posix_spawnattr_getsigdefault, posix_spawnattr_setsigdefault — get and set the spawn-sigdefault attribute of a spawn attributes object (ADVANCED REALTIME)
398	posix_spawnattr_getsigmask	posix_spawnattr_getsigmask, posix_spawnattr_setsigmask — get and set the spawn-sigmask attribute of a spawn attributes object (ADVANCED REALTIME)
399	posix_typed_mem_get_info	posix_typed_mem_get_info — query typed memory information (ADVANCED REALTIME)
400	posix_typed_mem_open	posix_typed_mem_open — open a typed memory object (ADVANCED REALTIME)
401	pow	pow, powf, powl — power function
402	pselect	pselect, select — synchronous I/O multiplexing
403	psiginfo	psiginfo, psignal — write signal information to standard error
404	pthread_atfork	pthread_atfork — register fork handlers
405	pthread_attr_destroy	pthread_attr_destroy, pthread_attr_init — destroy and initialize the thread attributes object
406	pthread_attr_getdetachstate	pthread_attr_getdetachstate, pthread_attr_setdetachstate — get and set the detachstate attribute
407	pthread_attr_getguardsize	pthread_attr_getguardsize, pthread_attr_setguardsize — get and set the thread guardsize attribute
408	pthread_attr_getinheritsched	pthread_attr_getinheritsched, pthread_attr_setinheritsched — get and set the inheritsched attribute (REALTIME THREADS)
409	pthread_attr_getschedparam	pthread_attr_getschedparam, pthread_attr_setschedparam — get and set the schedparam attribute
410	pthread_attr_getschedpolicy	pthread_attr_getschedpolicy, pthread_attr_setschedpolicy — get and set the schedpolicy attribute (REALTIME THREADS)
411	pthread_attr_getscope	pthread_attr_getscope, pthread_attr_setscope — get and set the contentionscope attribute (REALTIME THREADS)
412	pthread_attr_getstack	pthread_attr_getstack, pthread_attr_setstack — get and set stack attributes
413	pthread_attr_getstacksize	pthread_attr_getstacksize, pthread_attr_setstacksize — get and set the stacksize attribute
414	pthread_barrier_destroy	pthread_barrier_destroy, pthread_barrier_init — destroy and initialize a barrier object
415	pthread_barrier_wait	pthread_barrier_wait — synchronize at a barrier
416	pthread_barrierattr_destroy	pthread_barrierattr_destroy, pthread_barrierattr_init — destroy and initialize the barrier attributes object
417	pthread_barrierattr_getpshared	pthread_barrierattr_getpshared, pthread_barrierattr_setpshared — get and set the process-shared attribute of the barrier attributes object
418	pthread_cancel	pthread_cancel — cancel execution of a thread
419	pthread_cleanup_pop	pthread_cleanup_pop, pthread_cleanup_push — establish cancellation handlers
420	pthread_cond_broadcast	pthread_cond_broadcast, pthread_cond_signal — broadcast or signal a condition
421	pthread_cond_clockwait	pthread_cond_clockwait, pthread_cond_timedwait, pthread_cond_wait — wait on a condition
422	pthread_cond_destroy	pthread_cond_destroy, pthread_cond_init — destroy and initialize condition variables
423	pthread_condattr_destroy	pthread_condattr_destroy, pthread_condattr_init — destroy and initialize the condition variable attributes object
424	pthread_condattr_getclock	pthread_condattr_getclock, pthread_condattr_setclock — get and set the clock selection condition variable attribute
425	pthread_condattr_getpshared	pthread_condattr_getpshared, pthread_condattr_setpshared — get and set the process-shared condition variable attributes
426	pthread_create	pthread_create — thread creation
427	pthread_detach	pthread_detach — detach a thread
428	pthread_equal	pthread_equal — compare thread IDs
429	pthread_exit	pthread_exit — thread termination
430	pthread_getcpuclockid	pthread_getcpuclockid — access a thread CPU-time clock (ADVANCED REALTIME THREADS)
431	pthread_getschedparam	pthread_getschedparam, pthread_setschedparam — dynamic thread scheduling parameters access (REALTIME THREADS)
432	pthread_getspecific	pthread_getspecific, pthread_setspecific — thread-specific data management
433	pthread_join	pthread_join — wait for thread termination
434	pthread_key_create	pthread_key_create — thread-specific data key creation
435	pthread_key_delete	pthread_key_delete — thread-specific data key deletion
436	pthread_kill	pthread_kill — send a signal to a thread
437	pthread_mutex_clocklock	pthread_mutex_clocklock, pthread_mutex_timedlock — lock a mutex
438	pthread_mutex_consistent	pthread_mutex_consistent — mark state protected by robust mutex as consistent
439	pthread_mutex_destroy	pthread_mutex_destroy, pthread_mutex_init — destroy and initialize a mutex
440	pthread_mutex_getprioceiling	pthread_mutex_getprioceiling, pthread_mutex_setprioceiling — get and set the priority ceiling of a mutex (REALTIME THREADS)
441	pthread_mutex_lock	pthread_mutex_lock, pthread_mutex_trylock, pthread_mutex_unlock — lock and unlock a mutex
442	pthread_mutexattr_destroy	pthread_mutexattr_destroy, pthread_mutexattr_init — destroy and initialize the mutex attributes object
443	pthread_mutexattr_getprioceiling	pthread_mutexattr_getprioceiling, pthread_mutexattr_setprioceiling — get and set the prioceiling attribute of the mutex attributes object (REALTIME THREADS)
444	pthread_mutexattr_getprotocol	pthread_mutexattr_getprotocol, pthread_mutexattr_setprotocol — get and set the protocol attribute of the mutex attributes object (REALTIME THREADS)
445	pthread_mutexattr_getpshared	pthread_mutexattr_getpshared, pthread_mutexattr_setpshared — get and set the process-shared attribute
446	pthread_mutexattr_getrobust	pthread_mutexattr_getrobust, pthread_mutexattr_setrobust — get and set the mutex robust attribute
447	pthread_mutexattr_gettype	pthread_mutexattr_gettype, pthread_mutexattr_settype — get and set the mutex type attribute
448	pthread_once	pthread_once — dynamic package initialization
449	pthread_rwlock_clockrdlock	pthread_rwlock_clockrdlock, pthread_rwlock_timedrdlock — lock a read-write lock for reading
